id,email
1,piet.devisser@scouting.org
2,sven.mislintat@diamond-eye.de
3,monchi@leondesanfernando.com
4,juni.calafat@realmadrid.com
5,luis.campos@football-advisor.com
6,geoffrey.moncada@acmilan.com
7,francis.cagigao@global-scout.com
8,graham.carr@nufc-legends.co.uk
9,steve.walsh@leicester-miracle.com
10,michael.zorc@bvb-legend.de
11,txiki.begiristain@mancity.com
12,ralf.rangnick@gegenpressing.com
13,fabio.paratici@spurs-global.com
14,beppe.marotta@inter.it
15,ariedo.braida@calcio-guru.it
16,pantaleo.corvino@lecce.it
17,walter.sabatini@fumador.it
18,minguella@messi-discoverer.com
19,charly.rexach@fcbarcelona.cat
20,andre.cury@brasil-scout.com
21,paul.mitchell@asmonaco.com
22,dan.ashworth@newcastle.co.uk
23,michael.edwards@liverpooldata.com
24,joe.shields@chelseafc.com
25,steve.nickson@nufc.co.uk
26,barry.hunter@lfc-scouting.com
27,dave.fallows@lfc-recruitment.com
28,david.fernandez@realmadrid-cantera.com
29,rob.newman@mancity-scout.com
30,gary.worthington@mancity-academy.com
31,laurent.busser@fcbayern.de
32,markus.pilawa@bvb-scout.de
33,peter.braund@manutd-scout.com
34,bob.arber@arsenal-scout.com
35,carmine.gentile@juve-scout.it
36,eric.abidal@barca-legends.com
37,jordi.cruyff@barca-management.com
38,deco@fcbarcelona.cat
39,mateu.alemany@atleticomadrid.es
40,pablo.longoria@om.fr
41,jose.boto@paok.gr
42,antero.henrique@psg-ex.fr
43,rui.costa@benfica.pt
44,tiago.pinto@asroma.it
45,hermann.gerland@fcbayern-campus.de
46,norbert.elgert@knappenschmiede.de
47,bojan.krkic@barca-coordination.com
48,javier.ribalta@global-football.com
49,antonio.cordon@realbetis.es
50,tk.karlsen@scouting-director.com
51,fredi.bobic@hertha-ex.de
52,hasan.salihamidzic@fcbayern-ex.de
53,max.eberl@rb-leipzig.de
54,rouven.schroeder@schalke.de
55,ben.manga@watford.co.uk
56,pierpaolo.marino@udinese.it
57,info@realmadrid.com
58,socios@fcbarcelona.cat
59,admin@atleticodemadrid.com
60,prensa@athletic-club.eus
61,info@realsociedad.eus
62,info@realbetisbalompie.es
63,sevillafc@sevillafc.es
64,info@valenciacf.es
65,prensa@villarrealcf.es
66,info@gironafc.cat
67,contact@mancity.com
68,info@arsenal.co.uk
69,contact@liverpoolfc.com
70,info@avfc.co.uk
71,press@tottenhamhotspur.com
72,enquiries@chelseafc.com
73,admin@nufc.co.uk
74,enquiries@manutd.co.uk
75,info@westham.co.uk
76,supporters@bhafc.co.uk
77,enquiries@afcb.co.uk
78,boxoffice@cpfc.co.uk
79,everton@evertonfc.com
80,enquiries@fulhamfc.com
81,info@wolves.co.uk
82,info@bayer04.de
83,info@fcbayern.com
84,service@bvb.de
85,service@rbleipzig.com
86,info@eintrachtfrankfurt.de
87,service@vfb.de
88,segreteria@inter.it
89,info@acmilan.com
90,info@juventus.com
91,info@sscnapoli.it
92,info@asroma.it
93,info@atalanta.it
94,segreteria@sslazio.it
95,contact@psg.fr
96,info@asmonaco.com
97,contact@losc.fr
98,om@om.fr
99,ol@ol.fr
100,contact@toulousefc.com
101,geral@sporting.pt
102,info@slbenfica.pt
103,geral@fcporto.pt
104,info@ajax.nl
105,info@psv.nl
106,info@feyenoord.nl
107,socios@cariverplate.com.ar
108,socios@bocajuniors.com.ar
109,flamengo@flamengo.com.br
110,contato@palmeiras.com.br
111,bjk@bjk.com.tr
112,info@galatasaray.org
113,fenerbahce@fenerbahce.org
114,office@redbullsalzburg.at
115,info@rbk.no
116,enquiries@safc.com
117,jorge@gestifute.com
118,jonathan@stellar.com
119,mino@raiolalegacy.com
120,pini@gol-int.com
121,contacto@familiarep.com
122,volker@sports360.de
123,rafaela@pimemta.com
124,giuliano@bertolucci.com
125,kia@msisport.com
126,fali@lian-sports.com
127,federico@pastorello.com
128,christian@roof.de
129,pere@media-base.com
130,moussa@classico.com
131,frank@base-soccer.com
132,arturo@canales-sport.com
133,juanma@lopez-sports.com
134,alessandro@worldsoccer.com
135,meissa@sport-cover.com
136,wagner@ribeiro.br
